Aesthetic Appreciation and Spanish Art:	['3', '0', '4', '3', '-1', '-2']	['amod', 'root', 'cc', 'amod', 'conj', 'punct']
People who study ballet also retain flexibility throughout their adult lives, making this technique the basis of training for all types of dance.	['7', '3', '0', '1', '3', '0', '1', '5', '4', '3', '-3', '3', '-5', '3', '0', '3', '-2', '3', '0', '4', '3', '-1', '3', '0', '-17']	['nsubj', 'nsubj', 'acl:relcl', 'obj', 'advmod', 'root', 'obj', 'case', 'nmod:poss', 'amod', 'obl', 'punct', 'advcl', 'det', 'obj', 'det', 'xcomp', 'case', 'nmod', 'case', 'det', 'nmod', 'case', 'nmod', 'punct']
While dancing ballet takes dedication and requires serious training, you can learn the basics to prepare yourself for further study.	['5', '4', '1', '11', '1', '3', '-1', '3', '0', '-4', '4', '3', '0', '3', '0', '3', '-2', '1', '4', '3', '-2', '-7']	['mark', 'csubj', 'obj', 'advcl', 'obj', 'cc', 'conj', 'amod', 'obj', 'punct', 'nsubj', 'aux', 'root', 'det', 'obj', 'mark', 'xcomp', 'obj', 'case', 'amod', 'obl', 'punct']
Learn to get ready for practicing, the basic positions, and some of the first techniques you 're likely to encounter in ballet.	['0', '3', '0', '1', '3', '0', '5', '4', '3', '-2', '4', '3', '-5', '5', '4', '3', '-2', '4', '3', '-1', '3', '0', '3', '0', '-22']	['root', 'mark', 'xcomp', 'xcomp', 'case', 'obl', 'punct', 'det', 'amod', 'conj', 'punct', 'cc', 'conj', 'case', 'det', 'amod', 'nmod', 'nsubj', 'cop', 'acl', 'mark', 'xcomp', 'case', 'obl', 'punct']
Part 1 Getting Ready to Dance	['0', '1', '0', '1', '3', '0']	['root', 'dep', 'appos', 'xcomp', 'mark', 'xcomp']
Stretch your muscles thoroughly.	['0', '3', '0', '-1', '-2']	['root', 'nmod:poss', 'obj', 'advmod', 'punct']
Stretching is important to loosen muscles, strengthen muscles and to elongate your posture.	['4', '3', '0', '3', '0', '1', '3', '-1', '1', '4', '3', '-5', '3', '0', '-10']	['csubj', 'cop', 'root', 'mark', 'xcomp', 'obj', 'punct', 'conj', 'obj', 'cc', 'mark', 'conj', 'nmod:poss', 'obj', 'punct']
It is vital that it is done at the beginning of each ballet session, including before a performance.	['4', '3', '0', '5', '4', '3', '-2', '4', '3', '-1', '5', '4', '3', '-2', '6', '5', '4', '3', '-10', '-15']	['expl', 'cop', 'root', 'mark', 'nsubj:pass', 'aux:pass', 'csubj', 'case', 'det', 'obl', 'case', 'det', 'compound', 'nmod', 'punct', 'mark', 'case', 'det', 'advcl', 'punct']
When taking on ballet, it is important to stretch daily for at least 15 - 30 minutes, to give the muscles ample opportunity to warm up, reducing the risk of injury.	['3', '8', '3', '0', '-1', '4', '3', '0', '3', '0', '1', '8', '3', '3', '5', '3', '0', '-6', '4', '3', '-9', '3', '0', '3', '-2', '3', '0', '1', '3', '-1', '3', '0', '3', '0', '-25']	['mark', 'advcl', 'case', 'obl', 'punct', 'expl', 'cop', 'root', 'mark', 'csubj', 'advmod', 'case', 'case', 'advmod', 'nummod', 'case', 'nmod', 'obl', 'punct', 'mark', 'xcomp', 'det', 'iobj', 'amod', 'obj', 'mark', 'xcomp', 'compound:prt', 'punct', 'advcl', 'det', 'obj', 'case', 'nmod', 'punct']
"You should also stretch to ""wind down"" at the end of ballet dancing."	['5', '4', '3', '0', '4', '3', '-1', '1', '0', '4', '3', '-3', '4', '3', '-1', '-10']	['nsubj', 'aux', 'advmod', 'root', 'mark', 'punct', 'xcomp', 'advmod', 'punct', 'case', 'det', 'obl', 'case', 'compound', 'nmod', 'punct']
Always wear ballet slippers.	['3', '0', '3', '0', '-1']	['advmod', 'root', 'compound', 'obj', 'punct']
Properly-fitted ballet shoes should be snug, but not so tight they cut off blood flow and create numbness in the feet.	['4', '3', '5', '4', '3', '0', '6', '5', '4', '3', '-3', '3', '0', '1', '3', '-1', '3', '-3', '1', '4', '3', '-2', '-15']	['amod', 'compound', 'nsubj', 'aux', 'cop', 'root', 'punct', 'cc', 'advmod', 'advmod', 'conj', 'nsubj', 'ccomp', 'compound:prt', 'compound', 'obj', 'cc', 'conj', 'obj', 'case', 'det', 'obl', 'punct']
There are different styles and types of shoes, so ask your ballet teacher or a salesman at the store for advice, given your intentions for dancing.	['3', '0', '3', '0', '3', '0', '3', '-2', '4', '3', '-7', '4', '3', '-1', '4', '3', '-1', '4', '3', '-7', '3', '0', '3', '-11', '3', '0', '3', '-2', '-25']	['expl', 'root', 'amod', 'nsubj', 'cc', 'conj', 'case', 'nmod', 'punct', 'advmod', 'parataxis', 'nmod:poss', 'compound', 'obj', 'cc', 'det', 'conj', 'case', 'det', 'obl', 'case', 'nmod', 'punct', 'advcl', 'nmod:poss', 'obj', 'case', 'obl', 'punct']
Don't buy shoes to grow into, because your feet will seem flexed when you pointe and will look flat.	['4', '3', '0', '1', '3', '0', '1', '7', '6', '3', '4', '3', '-5', '1', '4', '3', '-1', '4', '3', '-1', '1', '-17']	['aux', 'advmod', 'root', 'obj', 'mark', 'acl', 'obl', 'punct', 'mark', 'nmod:poss', 'nsubj', 'aux', 'advcl', 'xcomp', 'mark', 'nsubj', 'advcl', 'cc', 'aux', 'conj', 'xcomp', 'punct']
You should fit them to where the drawstring is tied slightly loose.	['4', '3', '0', '1', '3', '-1', '3', '4', '3', '-2', '3', '0', '-8']	['nsubj', 'aux', 'root', 'obj', 'case', 'obl', 'det', 'nsubj:pass', 'aux:pass', 'acl:relcl', 'advmod', 'amod', 'punct']
If your drawstring is longer than your pinkie then you should cut it off till it is roughly the size of your fingernail.	['6', '3', '4', '3', '9', '4', '3', '-1', '5', '4', '3', '0', '1', '0', '7', '6', '5', '4', '3', '-6', '4', '3', '-1', '-10']	['mark', 'nmod:poss', 'nsubj', 'cop', 'advcl', 'case', 'nmod:poss', 'obl', 'advmod', 'nsubj', 'aux', 'root', 'obj', 'compound:prt', 'mark', 'nsubj', 'cop', 'advmod', 'det', 'advcl', 'case', 'nmod:poss', 'nmod', 'punct']
The drawstring just completes the fit.	['3', '4', '3', '0', '3', '0', '-1']	['det', 'nsubj', 'advmod', 'root', 'det', 'obj', 'punct']
It isn't made to tighten overly large shoes.	['5', '4', '3', '0', '3', '0', '3', '3', '-1', '-4']	['nsubj:pass', 'aux:pass', 'advmod', 'root', 'mark', 'xcomp', 'advmod', 'amod', 'obj', 'punct']
If you can't buy ballet shoes, that it is okay.	['6', '5', '4', '3', '9', '3', '0', '-1', '3', '4', '3', '0', '1']	['mark', 'nsubj', 'aux', 'advmod', 'advcl', 'compound', 'obj', 'punct', 'reparandum', 'nsubj', 'cop', 'root', 'punct']
Use socks without the stickies on the bottom, so you can turn!	['0', '1', '4', '3', '-2', '4', '3', '-1', '6', '5', '4', '3', '-10', '-11']	['root', 'obj', 'case', 'det', 'obl', 'case', 'det', 'nmod', 'punct', 'mark', 'nsubj', 'aux', 'advcl', 'punct']
Wear comfortable and snug-fitting athletic clothes.	['0', '6', '4', '3', '-1', '-3', '-4']	['root', 'amod', 'cc', 'advmod', 'conj', 'obj', 'punct']
The most important thing is that you are comfortable, and that you 're not wearing baggy or loose fitting clothing so you can make sure you 're forming and moving correctly in the mirror.	['5', '3', '3', '7', '6', '5', '4', '3', '0', '8', '7', '6', '5', '4', '3', '-5', '6', '4', '3', '-1', '-3', '5', '4', '3', '-7', '1', '4', '3', '-1', '3', '0', '1', '4', '3', '-2', '-25']	['det', 'advmod', 'amod', 'nsubj', 'cop', 'mark', 'nsubj', 'cop', 'root', 'punct', 'cc', 'mark', 'nsubj', 'aux', 'advmod', 'conj', 'amod', 'cc', 'advmod', 'conj', 'obj', 'advmod', 'nsubj', 'aux', 'advcl', 'xcomp', 'nsubj', 'aux', 'ccomp', 'cc', 'conj', 'advmod', 'case', 'det', 'obl', 'punct']
A plain black leotard and pink tights are usually a safe bet.	['5', '4', '3', '10', '4', '3', '-1', '6', '5', '4', '3', '0', '1']	['det', 'amod', 'amod', 'nsubj', 'cc', 'amod', 'conj', 'cop', 'advmod', 'det', 'amod', 'root', 'punct']
Pink or black ballet slippers are also appropriate.	['6', '3', '0', '3', '5', '4', '3', '0', '1']	['amod', 'cc', 'conj', 'compound', 'nsubj', 'cop', 'advmod', 'root', 'punct']
If you 're signed up for a class, check with your instructor to find out if there is a dress code at the school.	['5', '4', '3', '8', '1', '4', '3', '-2', '-3', '0', '4', '3', '-1', '3', '0', '1', '4', '3', '-2', '4', '3', '-1', '4', '3', '-1', '-14']	['mark', 'nsubj:pass', 'aux:pass', 'advcl', 'compound:prt', 'case', 'det', 'obl', 'punct', 'root', 'case', 'nmod:poss', 'obl', 'mark', 'xcomp', 'compound:prt', 'mark', 'expl', 'advcl', 'det', 'compound', 'nsubj', 'case', 'det', 'nmod', 'punct']
Some schools may have students wear the same thing and others may just require any type of leotard and tights and sometimes ballet skirts.	['3', '4', '3', '0', '1', '0', '4', '3', '-1', '6', '5', '4', '3', '-8', '3', '0', '3', '0', '3', '-2', '5', '4', '3', '-6', '-19']	['det', 'nsubj', 'aux', 'root', 'obj', 'xcomp', 'det', 'amod', 'obj', 'cc', 'nsubj', 'aux', 'advmod', 'conj', 'det', 'obj', 'case', 'nmod', 'cc', 'conj', 'cc', 'advmod', 'compound', 'conj', 'punct']
Mostly they require tight fitting clothing so they can see that your muscles are working properly and so on.	['4', '3', '0', '4', '3', '-1', '5', '4', '3', '-5', '6', '3', '4', '3', '-3', '1', '4', '3', '-2', '-15']	['advmod', 'nsubj', 'root', 'amod', 'amod', 'obj', 'advmod', 'nsubj', 'aux', 'advcl', 'mark', 'nmod:poss', 'nsubj', 'aux', 'ccomp', 'advmod', 'cc', 'advmod', 'conj', 'punct']
Find an appropriate space to practice.	['0', '4', '3', '-1', '3', '0', '-4']	['root', 'det', 'amod', 'obj', 'mark', 'acl', 'punct']
Ballet is less about learning the moves and more about perfecting them.	['6', '5', '3', '3', '0', '3', '0', '5', '3', '3', '-4', '1', '-6']	['nsubj', 'cop', 'advmod', 'advmod', 'root', 'det', 'obj', 'cc', 'advmod', 'advmod', 'conj', 'obj', 'punct']
The moves themselves are relatively straightforward, but the positing, the timing, and the elegance required takes a lifetime of practice.	['3', '6', '1', '4', '3', '0', '14', '13', '3', '11', '4', '3', '-1', '5', '4', '3', '-5', '1', '-11', '3', '0', '3', '0', '-16']	['det', 'nsubj', 'nmod:npmod', 'cop', 'advmod', 'root', 'punct', 'cc', 'det', 'nsubj', 'punct', 'det', 'conj', 'punct', 'cc', 'det', 'conj', 'acl', 'conj', 'det', 'obj', 'case', 'nmod', 'punct']
For this reason, it's always better to practice ballet in a ballet studio under the guidance of a good instructor, who will be able to correct your positioning and make sure that you 're dancing properly.	['4', '3', '7', '1', '5', '4', '3', '0', '3', '0', '1', '5', '4', '3', '-2', '4', '3', '-6', '5', '4', '3', '-2', '6', '5', '4', '3', '-3', '3', '0', '3', '0', '3', '-2', '1', '5', '4', '3', '-2', '1', '-30']	['case', 'det', 'obl', 'punct', 'expl', 'cop', 'advmod', 'root', 'mark', 'csubj', 'obj', 'case', 'det', 'compound', 'nmod', 'case', 'det', 'obl', 'case', 'det', 'amod', 'nmod', 'punct', 'nsubj', 'aux', 'cop', 'acl:relcl', 'mark', 'xcomp', 'nmod:poss', 'obj', 'cc', 'conj', 'xcomp', 'mark', 'nsubj', 'aux', 'ccomp', 'advmod', 'punct']
A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately, and a barre for practicing. [1]	['4', '3', '4', '3', '0', '3', '0', '3', '0', '3', '0', '3', '-2', '5', '4', '3', '-2', '1', '5', '4', '3', '-13', '3', '0', '-18', '3', '-20', '1']	['det', 'compound', 'nsubj:pass', 'aux:pass', 'root', 'case', 'obl', 'mark', 'acl', 'nmod:poss', 'obj', 'cc', 'conj', 'obj', 'nsubj', 'aux', 'ccomp', 'advmod', 'punct', 'cc', 'det', 'conj', 'mark', 'acl', 'punct', 'punct', 'dep', 'punct']
If you want to practice at home, make sure you've got enough open space to move freely, preferably on a hard wood floor.	['4', '3', '8', '3', '0', '3', '0', '-3', '0', '1', '4', '3', '-1', '4', '3', '-1', '3', '0', '1', '3', '-1', '6', '5', '4', '3', '-6', '-16']	['mark', 'nsubj', 'advcl', 'mark', 'xcomp', 'case', 'obl', 'punct', 'root', 'xcomp', 'nsubj', 'aux', 'ccomp', 'amod', 'amod', 'obj', 'mark', 'acl', 'advmod', 'punct', 'advmod', 'case', 'det', 'amod', 'compound', 'obl', 'punct']
The back of a chair can replace the need for a bar.	['3', '7', '4', '3', '-1', '3', '0', '3', '0', '4', '3', '-1', '-4']	['det', 'nsubj', 'case', 'det', 'nmod', 'aux', 'root', 'det', 'obj', 'case', 'det', 'nmod', 'punct']
Position a large mirror so you can check your positioning and see what you 're doing.	['0', '4', '3', '-1', '5', '4', '3', '-5', '3', '0', '3', '-2', '1', '4', '3', '-2', '-14']	['root', 'det', 'amod', 'obj', 'advmod', 'nsubj', 'aux', 'advcl', 'nmod:poss', 'obj', 'cc', 'conj', 'obj', 'nsubj', 'aux', 'ccomp', 'punct']
How to Grow Basil	['4', '3', '0', '1']	['mark', 'mark', 'root', 'obj']
Three Methods: Starting Seeds Caring for Basil Harvesting and Using Basil	['3', '0', '4', '3', '-1', '1', '3', '0', '-2', '3', '0', '1']	['nummod', 'root', 'punct', 'compound', 'appos', 'conj', 'case', 'obl', 'conj', 'cc', 'conj', 'obj']
Basil is easy to grow, and transforms ordinary meals into culinary treasures!	['4', '3', '0', '3', '0', '4', '3', '-3', '3', '0', '4', '3', '-3', '-9']	['nsubj', 'cop', 'root', 'mark', 'xcomp', 'punct', 'cc', 'conj', 'amod', 'obj', 'case', 'amod', 'obl', 'punct']
Fresh basil not only tastes better than dried, it actually tastes different, almost as if it were not the same herb.	['3', '5', '3', '3', '0', '1', '3', '0', '5', '4', '3', '-5', '1', '11', '10', '9', '1', '7', '6', '5', '4', '3', '-9', '-17']	['amod', 'nsubj', 'advmod', 'advmod', 'root', 'xcomp', 'case', 'nmod', 'punct', 'nsubj', 'advmod', 'conj', 'xcomp', 'punct', 'advmod', 'mark', 'fixed', 'nsubj', 'cop', 'advmod', 'det', 'amod', 'advcl', 'punct']
This article outlines how to plant and harvest basil.	['3', '3', '0', '4', '3', '-1', '3', '0', '-1', '-5']	['det', 'nsubj', 'root', 'mark', 'mark', 'xcomp', 'cc', 'conj', 'obj', 'punct']
Method 1 of 3: Starting Seeds	['0', '1', '3', '-1', '4', '3', '-4']	['root', 'dep', 'case', 'nmod', 'punct', 'compound', 'appos']
1 Choose the kind of basil you wish to grow.	['3', '0', '3', '0', '3', '0', '3', '-2', '3', '0', '-7']	['dep', 'root', 'det', 'obj', 'case', 'nmod', 'nsubj', 'acl:relcl', 'mark', 'xcomp', 'punct']
Basil comes in many different varieties, each of which have a unique flavor and smell.	['3', '0', '5', '4', '3', '-2', '6', '5', '3', '0', '-3', '4', '3', '-1', '3', '0', '-13']	['nsubj', 'root', 'case', 'amod', 'amod', 'obl', 'punct', 'nsubj', 'case', 'nmod', 'acl:relcl', 'det', 'amod', 'obj', 'cc', 'conj', 'punct']
Read up on different types of basil and pick out one - or several - that appeal to you, then order the seeds or buy them at a garden store.	['0', '1', '4', '3', '-2', '3', '0', '3', '-6', '1', '0', '4', '3', '-1', '4', '3', '-4', '3', '0', '4', '3', '-19', '3', '0', '3', '-23', '1', '5', '4', '3', '-3', '-29']	['root', 'compound:prt', 'case', 'amod', 'obl', 'case', 'nmod', 'cc', 'conj', 'compound:prt', 'obj', 'punct', 'cc', 'dep', 'punct', 'nsubj', 'acl:relcl', 'case', 'obl', 'punct', 'advmod', 'conj', 'det', 'obj', 'cc', 'conj', 'obj', 'case', 'det', 'compound', 'obl', 'punct']
Here are a few ideas:	['6', '5', '4', '3', '0', '1']	['dep', 'cop', 'det', 'amod', 'root', 'punct']
Cinnamon basil really does smell like the sweet spice, and it also has unusually beautiful and fragrant flowers.	['3', '5', '4', '3', '0', '5', '4', '3', '-2', '6', '5', '4', '3', '-7', '3', '5', '3', '0', '-3', '-13']	['compound', 'nsubj', 'advmod', 'aux', 'root', 'case', 'det', 'amod', 'obl', 'punct', 'cc', 'nsubj', 'advmod', 'conj', 'advmod', 'amod', 'cc', 'conj', 'obj', 'punct']
Lemon basil actually contains citral, an aromatic compound found in citrus fruit, and smells very lemony.	['3', '4', '3', '0', '1', '5', '4', '3', '-2', '1', '4', '3', '-1', '4', '3', '-10', '3', '0', '-13']	['compound', 'nsubj', 'advmod', 'root', 'obj', 'punct', 'det', 'amod', 'appos', 'acl', 'case', 'amod', 'obl', 'punct', 'cc', 'conj', 'advmod', 'xcomp', 'punct']
Purple basil is often grown for decoration, as well as its scent and flowers.	['3', '5', '4', '3', '0', '3', '0', '7', '6', '1', '0', '3', '-4', '3', '0', '-9']	['amod', 'nsubj:pass', 'aux:pass', 'advmod', 'root', 'case', 'obl', 'punct', 'cc', 'fixed', 'fixed', 'nmod:poss', 'conj', 'cc', 'conj', 'punct']
There are perennial basils which come back year after year, like African Blue Basil (which has pretty blue veins on its leaves) and Thai Basil, while most other varieties are annuals, which you'll have to plant year after year.	['3', '0', '3', '0', '3', '0', '1', '0', '3', '-2', '6', '5', '4', '3', '-3', '4', '3', '-1', '4', '3', '-1', '4', '3', '-1', '-5', '4', '3', '-11', '8', '7', '4', '3', '4', '3', '-27', '6', '7', '4', '3', '-3', '3', '0', '1', '3', '0', '-42']	['expl', 'root', 'amod', 'nsubj', 'nsubj', 'acl:relcl', 'compound:prt', 'obl:tmod', 'case', 'obl', 'punct', 'case', 'compound', 'compound', 'nmod', 'punct', 'nsubj', 'dep', 'amod', 'amod', 'obj', 'case', 'nmod:poss', 'nmod', 'punct', 'cc', 'compound', 'conj', 'punct', 'mark', 'advmod', 'amod', 'nsubj', 'cop', 'advcl', 'punct', 'obj', 'nsubj', 'aux', 'acl:relcl', 'mark', 'xcomp', 'obl:tmod', 'case', 'nmod', 'punct']
Globe and Greek basil are much more difficult to grow, but form pretty little bushes which stay well-contained.	['9', '4', '3', '-1', '5', '4', '3', '0', '3', '0', '4', '3', '-1', '4', '3', '-1', '3', '0', '1', '-10']	['nsubj', 'cc', 'amod', 'conj', 'cop', 'advmod', 'advmod', 'root', 'mark', 'xcomp', 'punct', 'cc', 'conj', 'amod', 'amod', 'obj', 'nsubj', 'acl:relcl', 'xcomp', 'punct']
2 Start seed indoors four to six weeks before last frost.	['4', '3', '0', '6', '4', '3', '3', '-3', '4', '3', '-6', '-7']	['dep', 'compound', 'root', 'dep', 'compound', 'dep', 'nummod', 'dep', 'case', 'amod', 'nmod', 'punct']
Basil needs warm air and sun to do well, so it's often easiest to start the seeds indoors instead of risking that they'll get damaged by frost.	['3', '0', '3', '0', '3', '0', '3', '-4', '1', '3', '-7', '5', '4', '3', '-11', '3', '0', '3', '0', '-1', '4', '3', '-4', '6', '5', '4', '3', '-3', '3', '0', '-27']	['nsubj', 'root', 'amod', 'obj', 'cc', 'conj', 'mark', 'advcl', 'advmod', 'punct', 'advmod', 'expl', 'cop', 'advmod', 'parataxis', 'mark', 'csubj', 'det', 'obj', 'advmod', 'advmod', 'mark', 'advcl', 'mark', 'nsubj:pass', 'aux', 'aux:pass', 'ccomp', 'case', 'obl', 'punct']
If you live in a hot climate, you can start the seeds outside instead.	['4', '3', '10', '5', '4', '3', '-2', '-3', '4', '3', '0', '3', '0', '-1', '-2', '-3']	['mark', 'nsubj', 'advcl', 'case', 'det', 'amod', 'obl', 'punct', 'nsubj', 'aux', 'root', 'det', 'obj', 'obl', 'advmod', 'punct']
To figure out when the last frost will be, consult an almanac or talk with other gardeners in your area.	['3', '11', '1', '0', '4', '3', '-1', '-2', '-3', '-6', '0', '3', '0', '3', '-2', '4', '3', '-1', '4', '3', '-1', '-9']	['mark', 'advcl', 'compound:prt', 'ccomp', 'det', 'amod', 'nsubj', 'aux', 'cop', 'punct', 'root', 'det', 'obj', 'cc', 'conj', 'case', 'amod', 'obl', 'case', 'nmod:poss', 'nmod', 'punct']
3 Prepare seed containers.	['3', '0', '3', '0', '-1']	['dep', 'root', 'compound', 'obj', 'punct']
Fill flats or individual seed containers with a mixture of equal parts perlite, vermiculite, and peat.	['0', '1', '5', '4', '3', '-2', '4', '3', '-1', '5', '3', '3', '-2', '3', '0', '4', '3', '-3', '-16']	['root', 'obj', 'cc', 'amod', 'compound', 'conj', 'case', 'det', 'nmod', 'case', 'amod', 'compound', 'nmod', 'punct', 'conj', 'punct', 'cc', 'conj', 'punct']
Press the mixture slightly to eliminate air pockets.	['0', '3', '0', '1', '3', '-3', '3', '0', '-6']	['root', 'det', 'obj', 'advmod', 'mark', 'xcomp', 'compound', 'obj', 'punct']
Dampen the mixture with water so it's ready to provide the right environment for the basil seeds to germinate.	['0', '3', '0', '3', '0', '5', '4', '3', '-6', '3', '0', '4', '3', '-1', '5', '4', '3', '-2', '3', '-7', '-18']	['root', 'det', 'obj', 'case', 'nmod', 'mark', 'nsubj', 'cop', 'advcl', 'mark', 'xcomp', 'det', 'amod', 'obj', 'case', 'det', 'compound', 'nmod', 'mark', 'advcl', 'punct']
4 Plant the seeds.	['3', '0', '3', '0', '-1']	['dep', 'root', 'det', 'obj', 'punct']
Drop one to two seeds into each container.	['0', '3', '3', '3', '-2', '4', '3', '-1', '-6']	['root', 'nummod', 'dep', 'nummod', 'obj', 'case', 'det', 'nmod', 'punct']
Cover them lightly with soil.	['0', '1', '0', '3', '-2', '-3']	['root', 'obj', 'advmod', 'case', 'obl', 'punct']
Cover containers with clear plastic kitchen wrap, so they stay moist.	['0', '1', '6', '5', '4', '3', '-4', '5', '4', '3', '-8', '1', '-10']	['root', 'obj', 'case', 'amod', 'amod', 'compound', 'obl', 'punct', 'cc', 'nsubj', 'conj', 'xcomp', 'punct']
Leave the containers in a sunny window.	['0', '3', '0', '5', '4', '3', '-4', '-5']	['root', 'det', 'obj', 'case', 'det', 'amod', 'obl', 'punct']
Twice daily, remove the plastic wrap and sprinkle the containers with more water.	['3', '4', '1', '0', '4', '3', '-1', '3', '-3', '3', '0', '4', '3', '-3', '-9']	['advmod', 'advmod', 'punct', 'root', 'det', 'compound', 'obj', 'cc', 'conj', 'det', 'obj', 'case', 'amod', 'obl', 'punct']
5 Remove the plastic wrap when the sprouts emerge.	['3', '0', '4', '3', '-1', '5', '3', '3', '-5', '-6']	['dep', 'root', 'det', 'compound', 'obj', 'mark', 'det', 'nsubj', 'advcl', 'punct']
When you see the first green tendrils push up through the soil, it's time to remove the plastic wrap.	['4', '3', '15', '5', '4', '3', '3', '-3', '1', '4', '3', '-2', '-8', '4', '3', '0', '3', '0', '4', '3', '-1', '-4']	['mark', 'nsubj', 'acl', 'det', 'amod', 'amod', 'nsubj', 'ccomp', 'compound:prt', 'case', 'det', 'obl', 'punct', 'nsubj', 'cop', 'root', 'mark', 'acl', 'det', 'compound', 'obj', 'punct']
Keep watering the sprouts twice daily, never letting the soil dry out.	['0', '1', '3', '0', '3', '-2', '4', '3', '-5', '3', '3', '-1', '1', '-11']	['root', 'xcomp', 'det', 'obj', 'advmod', 'advmod', 'punct', 'advmod', 'advcl', 'det', 'nsubj', 'ccomp', 'compound:prt', 'punct']
When the plants become a few inches tall and their leaves mature, it's time to transplant them to a larger container.	['5', '3', '3', '14', '4', '3', '-1', '-2', '5', '3', '3', '-6', '-7', '4', '3', '0', '3', '0', '1', '5', '4', '3', '-3', '-6']	['mark', 'det', 'nsubj', 'acl', 'det', 'amod', 'obj', 'xcomp', 'cc', 'nmod:poss', 'nsubj', 'conj', 'punct', 'nsubj', 'cop', 'root', 'mark', 'acl', 'obj', 'case', 'det', 'amod', 'obl', 'punct']
Method 2 of 3: Caring for Basil	['0', '1', '3', '-1', '3', '-3', '3', '0']	['root', 'dep', 'case', 'nmod', 'punct', 'appos', 'case', 'obl']
1 Transplant the basil plants.	['3', '0', '4', '3', '-1', '-2']	['dep', 'root', 'det', 'compound', 'obj', 'punct']
Once two sets of leaves have formed, basil can be planted into the garden or permanent containers.	['8', '3', '6', '3', '0', '3', '7', '1', '5', '4', '3', '0', '4', '3', '-1', '4', '3', '-1', '-5']	['advmod', 'nummod', 'nsubj', 'case', 'nmod', 'aux', 'advcl', 'punct', 'nsubj:pass', 'aux', 'aux:pass', 'root', 'case', 'det', 'obl', 'cc', 'amod', 'conj', 'punct']
Basil does not tolerate frost so don't plant too early.	['5', '4', '3', '0', '1', '5', '4', '3', '-3', '3', '0', '-6']	['nsubj', 'aux', 'advmod', 'root', 'obj', 'advmod', 'aux', 'advmod', 'parataxis', 'advmod', 'xcomp', 'punct']
It's best to put basil somewhere where it will get a good deal of sunshine and have well-drained soil.	['4', '3', '0', '3', '0', '1', '0', '5', '4', '3', '-6', '4', '3', '-1', '3', '0', '3', '-5', '3', '0', '-16']	['expl', 'cop', 'root', 'mark', 'csubj', 'obj', 'advmod', 'mark', 'nsubj', 'aux', 'advcl', 'det', 'amod', 'obj', 'case', 'nmod', 'cc', 'conj', 'amod', 'obj', 'punct']
To plant the basil in the garden, dig holes spaced at least 6 inches apart.	['3', '0', '3', '0', '4', '3', '-1', '3', '-5', '1', '0', '3', '3', '3', '-2', '-3', '-13']	['mark', 'root', 'det', 'obj', 'case', 'det', 'nmod', 'punct', 'dep', 'obj', 'amod', 'case', 'advmod', 'nummod', 'obj', 'advmod', 'punct']
Place the roots in the holes and place soil around the stems.	['0', '3', '0', '4', '3', '-1', '3', '-5', '1', '4', '3', '-1', '-10']	['root', 'det', 'obj', 'case', 'det', 'nmod', 'cc', 'conj', 'obj', 'case', 'det', 'nmod', 'punct']
Pat down soil around the plants to eliminate air pockets.	['0', '1', '0', '4', '3', '-1', '3', '-3', '3', '0', '-8']	['root', 'compound:prt', 'obj', 'case', 'det', 'nmod', 'mark', 'acl', 'compound', 'obj', 'punct']
If you want to plant the basil in a container, make sure it's large enough to accommodate the number of plants you 're growing;	['4', '3', '11', '3', '0', '3', '0', '4', '3', '-1', '-6', '0', '1', '4', '3', '-2', '1', '3', '-1', '3', '0', '3', '0', '4', '3', '-1', '-13']	['mark', 'nsubj', 'advcl', 'mark', 'xcomp', 'det', 'obj', 'case', 'det', 'nmod', 'punct', 'root', 'compound:prt', 'nsubj', 'cop', 'ccomp', 'advmod', 'mark', 'xcomp', 'det', 'obj', 'case', 'nmod', 'nsubj', 'cop', 'acl', 'punct']
they need to be planted 6 inches apart, since they grow quite large.	['6', '0', '4', '3', '-1', '3', '3', '-1', '5', '4', '3', '-5', '3', '0', '-11']	['nsubj:pass', 'root', 'mark', 'aux:pass', 'xcomp', 'nummod', 'nmod:npmod', 'advmod', 'punct', 'mark', 'nsubj', 'advcl', 'advmod', 'xcomp', 'punct']
2 Keep the soil damp, but not soaked.	['3', '0', '3', '0', '1', '3', '0', '1', '-3', '-6']	['dep', 'root', 'det', 'obj', 'amod', 'punct', 'cc', 'advmod', 'amod', 'punct']
Basil does best in well-drained soil, and should not be subjected to standing water.	['3', '0', '1', '4', '3', '-1', '7', '6', '5', '4', '3', '-8', '4', '3', '-1', '-12']	['nsubj', 'root', 'advmod', 'case', 'amod', 'obl', 'punct', 'cc', 'aux', 'advmod', 'aux:pass', 'conj', 'case', 'amod', 'obl', 'punct']
